sector,P/E (median),P/E (mean),P/S (median),P/S (mean),FCF/share (median),FCF/share (mean)
Basic Materials,19.96623804304902,-7.259482724790941,2.189700325380945,2.647739786455689,2.821002386634845,3.7362394248537103
Communication Services,14.622384241589659,-7.578859758285085,1.7192582494056587,3.1149486528060617,5.961968680089486,7.216780193844309
Consumer Cyclical,21.518068965517244,29.167293316188385,1.9727696666903647,2.741191293253869,5.031499272197962,20.739783851278737
Consumer Defensive,19.921110179933848,17.47126702399861,1.8027730803426378,2.153845317036465,3.873083317938297,4.8443355906602
Energy,18.82934471624364,20.716190687881443,1.7117469780231678,3.2291529260158525,5.271468144044321,6.030900597186345
Financial Services,14.55073781160592,19.82468106497515,2.135052601729767,4.711422382168446,8.667567892994324,11.275080913400581
Healthcare,25.404980263550122,30.543442066102465,3.6910369970270223,4.150121282630506,7.743906667923013,10.566103195691898
Industrials,25.312961912223585,28.169919894888693,3.1197831905118587,3.516764766743119,8.116728394144737,9.949392206128582
Real Estate,28.530699809420092,85.10252251270336,7.740374746654328,7.148632077850618,5.5689943812301435,5.958606759141477
Technology,28.895898898269614,47.48058065702254,5.375332469680773,8.313126914933767,6.935611597429099,7.8729831634697645
Utilities,21.58295514833449,25.434700871457572,3.0709963529367035,3.2088330678263155,-1.2040799054721596,268.42230402136084
